JokeyAdi,KosuAdet,derece1,derece2,derece3,derece4,derece5,derece1yuzde,derece2yuzde,derece3yuzde,derece4yuzde,derece5yuzde
CEMAL PASO,2658,175,241,254,256,257,7,9,10,10,10
CEMAL KURT,2512,167,251,255,254,263,7,10,10,10,10
ONUR ÖZELCANAT,2652,165,216,243,221,282,6,8,9,8,11
CEM ŞEN,2289,163,154,157,179,223,7,7,7,8,10
CEM ALTUN,2355,160,192,238,222,252,7,8,10,9,11
ALİ CAN İNAN,1504,156,140,137,131,158,10,9,9,9,11
OKAN İNCE,2157,154,168,178,205,197,7,8,8,10,9
MURAT KEÇECİ (Y2)&nbsp;,1431,146,137,139,151,150,10,10,10,11,10
ALİ CAN İŞLEYEN,1983,132,172,163,202,175,7,9,8,10,9
HACİ DEMİR,1570,129,135,136,143,143,8,9,9,9,9
YÜCEL ÇILGIN,1239,126,101,105,130,106,10,8,8,10,9
KAANCAN GÖKÇE (Y2)&nbsp;,1747,115,137,184,163,160,7,8,11,9,9
ALİ CAN BİNİZETOĞLU,1407,111,91,116,110,133,8,6,8,8,9
VOLKAN YÜCEL,1490,106,118,130,147,150,7,8,9,10,10
RIZA CİHAN,1492,105,147,157,143,164,7,10,11,10,11
UMUT YÜCEL,1824,105,114,132,153,176,6,6,7,8,10
ERTUĞRUL CANKILIÇ (Y2)&nbsp;,813,104,96,94,64,78,13,12,12,8,10
YASİN PİLAVCILAR,1377,103,99,109,96,135,7,7,8,7,10
MEHMET YÜCEDAĞ,1458,94,144,131,182,221,6,10,9,12,15
ALİ GÜLCÜ,1699,91,151,192,237,205,5,9,11,14,12
CUMALİ AVLİ,1483,90,89,118,145,130,6,6,8,10,9
HALİL YOLAÇICI (Y2)&nbsp;,1400,89,94,105,110,136,6,7,8,8,10
MÜSLÜM ÇELİK,14669,2231,2048,1907,1769,1570,15,14,13,12,11
YEMEN TUNÇ,14865,1633,1724,1696,1697,1813,11,12,11,11,12
MÜMİN ÇILGIN,5430,1080,980,754,652,551,20,18,14,12,10
ALİ KAÇMAZ,6926,616,708,755,708,767,9,10,11,10,11
GÖRKEM ÖZÇELİK,5270,522,571,603,635,599,10,11,11,12,11
ÇETİN OK,6265,484,507,576,649,652,8,8,9,10,10
ENGİN ÇAKIROĞLU,3923,399,396,349,351,329,10,10,9,9,8
ERAY ÇİZİK,3119,358,327,374,334,341,11,10,12,11,11
ŞİNASİ GÖKÇE,3665,310,405,401,409,415,8,11,11,11,11
HARUN KILIÇARSLAN,4343,303,332,393,419,423,7,8,9,10,10
GALİP KILIÇ,2998,282,283,304,305,303,9,9,10,10,10
HÜSEYİN ALTUNKILIÇ,3218,281,304,334,363,326,9,9,10,11,10
ALİ KILIÇ,2263,269,293,275,271,180,12,13,12,12,8
OKAN GÖKÇE,2716,235,260,241,286,216,9,10,9,11,8
SALİH ÇELİK,1733,211,194,165,219,190,12,11,10,13,11
İSMET AKKILIÇ,3504,195,227,264,288,308,6,6,8,8,9
ERKAN TUNÇ,3138,175,217,247,274,267,6,7,8,9,9
İLHAMİ GÖÇER,2163,157,150,181,170,144,7,7,8,8,7
EMRE AKKILIÇ,2364,156,154,160,166,180,7,7,7,7,8
SELÇUK ASLAN,1594,155,146,214,225,132,10,9,13,14,8
SİNAN ÇETİN,3487,154,195,221,269,279,4,6,6,8,8
ERDAL ÇEŞME,1214,125,139,147,164,126,10,11,12,14,10
EMRE KAÇAR,1474,124,102,144,118,129,8,7,10,8,9
HARUN ÇANAKÇI (Y2)&nbsp;,1247,117,98,115,148,122,9,8,9,12,10
MEHMET ÇELİK,1507,110,129,135,130,119,7,9,9,9,8
DENİZ YILDIZ,12597,996,1099,1270,1321,1340,8,9,10,10,11
DEDE MUTLU,7668,930,945,894,940,844,12,12,12,12,11
ONUR YILDIZ,6802,746,741,759,756,773,11,11,11,11,11
MENDERES AVŞAR,5837,541,497,517,507,543,9,9,9,9,9
ALİ RIZA YILDIZ,6342,521,564,632,642,660,8,9,10,10,10
DAVUT AKDI,4457,499,510,538,589,394,11,11,12,13,9
MEHMET DOĞAN,5261,419,501,520,587,468,8,10,10,11,9
MUSA DEMİR,4860,409,446,465,424,454,8,9,10,9,9
ADEM ASLAN,5609,405,483,492,539,561,7,9,9,10,10
İLKER SOYAD,4250,388,416,422,441,453,9,10,10,10,11
RAMAZAN TAŞDELEN,5874,383,462,485,508,511,7,8,8,9,9
SERDAR YILDIRIM,4043,361,380,435,421,354,9,9,11,10,9
VELAT DEMİR,4760,322,394,360,441,491,7,8,8,9,10
VEDAT KIZMAZ,3577,312,344,356,353,335,9,10,10,10,9
HASAN ALTUNDAĞ,3559,308,315,351,357,307,9,9,10,10,9
AZİZ AKDEMİR,3073,292,287,316,301,309,10,9,10,10,10
NİZAMETTİN DEMİR,3290,286,316,324,366,383,9,10,10,11,12
HAKAN YILDIZ,3824,269,325,362,377,406,7,8,9,10,11
REMZİ DOĞAN,3316,268,302,295,297,305,8,9,9,9,9
HALİS YILDIZ,3109,256,265,304,305,377,8,9,10,10,12
MEHMET EMİN DOĞAN,3049,249,312,268,281,279,8,10,9,9,9
İSMAİL DİNAR,4375,239,289,322,369,450,5,7,7,8,10
METİN HAMEDİ,3728,234,269,314,384,366,6,7,8,10,10
ORHAN KANDUR,2140,230,265,317,261,443,11,12,15,12,21
ALAATTİN KÜRÜNDÜK,3458,229,256,240,304,362,7,7,7,9,10
ERDAL YAVUZ,2177,222,216,177,199,174,10,10,8,9,8
HALİL PARILDAR,3895,208,259,266,332,351,5,7,7,9,9
NURETTİN ŞEN,19716,2072,2116,2074,2113,2135,11,11,11,11,11
EKREM KURT,4205,1237,875,656,437,331,29,21,16,10,8
KEMAL KURT,10126,627,727,768,828,868,6,7,8,8,9
FURKAN YÜKSEL,6347,596,661,663,715,739,9,10,10,11,12
MUSTAFA YÜKSEL,5102,593,619,681,692,454,12,12,13,14,9
ERHAN AKTUĞ,4956,496,487,497,522,527,10,10,10,11,11
MEHMET TAŞKAYA,3757,466,435,368,396,382,12,12,10,11,10
GÜRKAN HÜSNÜ OKER,4582,461,491,479,507,451,10,11,10,11,10
MEHMET ALİ AKTÜRK,4412,442,426,444,432,423,10,10,10,10,10
ŞERİF KARAGÖZ,3886,327,380,480,553,469,8,10,12,14,12
UFUK AKAY,3596,263,294,346,340,382,7,8,10,9,11
HALEF KATI,3523,232,267,285,316,323,7,8,8,9,9
MUSTAFA TARHAN,2671,188,244,237,229,261,7,9,9,9,10
FIRAT ARSLAN,2675,184,197,219,269,315,7,7,8,10,12
FATİH SULTAN MEHMET SANSAR,1805,166,165,173,205,206,9,9,10,11,11
MUSTAFA IŞIK,2353,157,173,192,172,211,7,7,8,7,9
YUSUF AKTAŞ,2317,125,169,242,202,224,5,7,10,9,10
FURKAN KARAKURT (Y2)&nbsp;,1693,123,117,128,160,161,7,7,8,9,10
ŞEFİK KOŞAR,1114,120,126,131,131,128,11,11,12,12,11
MEHMET FATİN ASLAN (Y2)&nbsp;,1475,113,134,121,142,136,8,9,8,10,9
FETHULLAH FELHAN (Y2)&nbsp;,2077,107,115,134,143,163,5,6,6,7,8
ARİF OKAN PAZAR,1111,104,107,121,90,97,9,10,11,8,9
ÖMER FARUK ÖZEN (Y2)&nbsp;,952,103,125,100,87,116,11,13,11,9,12
FERDİ KABADAYI (Y2)&nbsp;,1635,95,110,118,131,140,6,7,7,8,9
