race_kod,no,at_kod,bot2,kamu,kazandi,irk
183171,10,77851,0.013151237104628092,0.015972661293119743,0,Ingiliz
183171,11,76469,0.0160434127402371,0.02171983381447591,0,Ingiliz
183171,12,79345,0.005986988342149207,0.008027710598096451,0,Ingiliz
183171,13,73057,0.08409246940709092,0.09751142174051422,1,Ingiliz
183171,14,78677,0.009345508303045117,0.011272541074287419,0,Ingiliz
183171,15,77726,0.12096173357156269,0.14993691729993047,0,Ingiliz
183655,1,68512,0.022796985181027397,0.025467841554490972,0,Ingiliz
183655,2,80870,0.04817267373587347,0.05504663391108481,0,Ingiliz
183655,3,77851,0.08213762326654393,0.07517120974954591,0,Ingiliz
183655,4,46135,0.18271413317210122,0.1969273945551485,0,Ingiliz
183655,5,78329,0.018212909339773282,0.021477488499870266,0,Ingiliz
183655,6,77761,0.0256509235275857,0.029939710949497947,0,Ingiliz
183655,7,79345,0.026056533381141705,0.027963690026831085,0,Ingiliz
183655,8,60993,0.144639792468378,0.1412307577112681,0,Ingiliz
183655,9,68710,0.4037336081056664,0.37788770306528485,0,Ingiliz
183655,10,72109,0.04588481782190877,0.048887569976977414,1,Ingiliz
184024,1,47049,0.1018620761930104,0.11161429253711723,0,Ingiliz
184024,2,75886,0.08893762569287027,0.07695146876782614,0,Ingiliz
184024,3,58583,0.11133382132166508,0.11161429253711723,0,Ingiliz
184024,4,70661,0.07943859530513932,0.07245138287497083,0,Ingiliz
184024,5,73332,0.10082517000632416,0.09755264938283473,1,Ingiliz
184024,6,76153,0.028320764374263896,0.029853461377397618,0,Ingiliz
184024,7,85006,0.19017656532458496,0.18491323091970163,0,Ingiliz
184024,8,74168,0.03805081369400604,0.03654627277764015,0,Ingiliz
184024,9,79156,0.05965095645387409,0.05789339472719632,0,Ingiliz
184024,10,78095,0.052233615412782625,0.06321013505928577,0,Ingiliz
184024,11,73344,0.05758914948973844,0.06225721845035182,0,Ingiliz
184024,12,77150,0.017184964454372006,0.022690817713589766,0,Ingiliz
184024,13,76425,0.0743958822773689,0.07245138287497083,0,Ingiliz
184262,1,58725,0.5647650969323607,0.4943655852975724,0,Ingiliz
184262,2,77924,0.008774685291275171,0.01238124900566371,0,Ingiliz
184262,3,73279,0.01878656238135382,0.02964076314417993,0,Ingiliz
184262,4,77269,0.055967208766550994,0.07690131326851125,0,Ingiliz
184262,5,76058,0.007252777418866549,0.011612614419741634,0,Ingiliz
184262,6,77850,0.003586606822603388,0.0059897171736616305,0,Ingiliz
184262,7,71282,0.1814873729090825,0.16478852843252412,0,Ingiliz
184262,8,77450,0.033942032770274064,0.04494232593614294,0,Ingiliz
184262,9,76573,0.05387234894902922,0.07026515933163466,1,Ingiliz
184262,10,77832,0.022498790006737754,0.02582506788867915,0,Ingiliz
184262,11,79042,0.00671210169899622,0.01008174536659288,0,Ingiliz
184262,12,47049,0.0283154996016143,0.03392704997140203,0,Ingiliz
184262,13,68512,0.01403891645125543,0.019278880763693634,0,Ingiliz
182530,1,75227,0.08729991430494609,0.09920463264603402,0,Ingiliz
182530,2,77546,0.11930745629368596,0.10545374336389443,0,Ingiliz
182530,3,74766,0.015871862505010496,0.01860086862113138,0,Ingiliz
182530,4,69003,0.0987202821372082,0.09920463264603402,0,Ingiliz
182530,5,51742,0.12305090381776307,0.11068285460507928,1,Ingiliz
182530,6,72137,0.34939544734012074,0.34340065146704085,0,Ingiliz
182530,7,78300,0.040347967902496056,0.04251627113401458,0,Ingiliz
182530,8,79039,0.04911113089374339,0.05698989534984933,0,Ingiliz
182530,9,78896,0.014389084476881234,0.016194226610900354,0,Ingiliz
182530,10,76425,0.08897043436925962,0.09365472312737476,0,Ingiliz
182530,11,77672,0.013535515958885318,0.01409750042864694,0,Ingiliz
182688,1,74021,0.022373763496278863,0.03097114777297884,0,Ingiliz
182688,2,76910,0.09141513159056777,0.10086549477416082,0,Ingiliz
182688,3,77546,0.03759393004565599,0.03605819619945846,0,Ingiliz
182688,4,75886,0.17107421151328267,0.17985654489850364,0,Ingiliz
182688,5,58583,0.20362184850532974,0.2132584746653686,0,Ingiliz
182688,6,51742,0.17768802925389177,0.1622618828975631,1,Ingiliz
182688,7,71725,0.15658294787533633,0.15232748190383472,0,Ingiliz
182688,8,71282,0.139650137719657,0.12440077688813168,0,Ingiliz
183004,1,51742,0.05427406960984946,0.05957859647083401,0,Ingiliz
183004,2,72418,0.18015808056976304,0.16929040216712593,0,Ingiliz
183004,3,71866,0.2160750852105523,0.22034623774133846,1,Ingiliz
183004,4,73505,0.034183229309150055,0.03258641544062048,0,Ingiliz
183004,5,77543,0.28655630187638315,0.2892044370355068,0,Ingiliz
183004,6,79137,0.034939431133152274,0.0467401110360415,0,Ingiliz
183004,8,76279,0.013839350219522182,0.018938353312011356,0,Ingiliz
183004,9,76481,0.17997445207162763,0.16331544679652146,0,Ingiliz
183428,1,51742,0.08314305812917742,0.08328697260614513,0,Ingiliz
183428,2,71945,0.03244319723417333,0.03517973906519108,0,Ingiliz
183428,3,79004,0.17245866788074554,0.17725176221307815,0,Ingiliz
183428,4,71282,0.06267076553811811,0.059337499796652766,0,Ingiliz
183428,5,72239,0.17889611551654144,0.2003715572843492,0,Ingiliz
183428,6,70661,0.04228347410828795,0.04955425610258099,0,Ingiliz
